epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.2078,1.91621,3.68103,1.88179,0.40158,0.27306,0.21356,0.13771,1.51827,2.83272,1.48346,0.000103656,0.000103656,0.000103656
2,187.744,1.56975,2.50375,1.58927,0.40628,0.37188,0.32248,0.21096,1.43907,2.90482,1.43241,0.00020593,0.00020593,0.00020593
3,279.565,1.51744,2.30577,1.55664,0.41649,0.34865,0.31576,0.21323,1.47046,2.64079,1.49406,0.000306139,0.000306139,0.000306139
4,375.942,1.47512,2.17621,1.53203,0.42063,0.41221,0.36981,0.2487,1.44308,2.59478,1.4446,0.000303704,0.000303704,0.000303704
5,469.757,1.44254,2.10574,1.50959,0.4681,0.44281,0.41759,0.26472,1.487,2.56066,1.46024,0.000300605,0.000300605,0.000300605
6,562.033,1.4151,2.00579,1.48237,0.49953,0.42966,0.43603,0.31294,1.28401,2.39449,1.35568,0.000297507,0.000297507,0.000297507
7,655.43,1.38359,1.95169,1.45272,0.51021,0.43735,0.45051,0.30541,1.48722,2.29318,1.46595,0.000294408,0.000294408,0.000294408
8,747.969,1.36747,1.93475,1.44803,0.51966,0.49237,0.48073,0.33577,1.35202,2.07397,1.36007,0.000291309,0.000291309,0.000291309
9,842.338,1.34271,1.86981,1.42265,0.50942,0.52445,0.4956,0.35549,1.38533,2.02484,1.40188,0.00028821,0.00028821,0.00028821
10,943.765,1.33087,1.82716,1.41534,0.53462,0.50432,0.50404,0.32731,1.58505,2.04508,1.51268,0.000285112,0.000285112,0.000285112
11,1035.85,1.31777,1.80489,1.41275,0.48827,0.52407,0.51486,0.34371,1.43984,1.96934,1.40607,0.000282013,0.000282013,0.000282013
12,1130.51,1.30075,1.77818,1.39769,0.58575,0.5041,0.53491,0.35686,1.49004,1.96578,1.43089,0.000278914,0.000278914,0.000278914
13,1229.93,1.2808,1.72245,1.37666,0.60931,0.49954,0.53578,0.36239,1.45323,1.97615,1.4216,0.000275816,0.000275816,0.000275816
