epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.472,3.22037,4.83387,3.16229,0.43383,0.00869,0.00303,0.00081,2.94779,4.4832,3.24937,0.000103656,0.000103656,0.000103656
2,70.4731,3.10894,4.66787,3.00998,0.44469,0.01207,0.00524,0.00137,2.96901,4.51138,3.2341,0.00020593,0.00020593,0.00020593
3,103.624,2.93826,4.5088,2.84295,0.51445,0.0293,0.01036,0.00313,2.8174,4.34307,3.03972,0.000306139,0.000306139,0.000306139
4,134.278,2.79223,4.3635,2.65837,0.3041,0.02875,0.0095,0.00313,2.72483,4.29425,2.77985,0.000303704,0.000303704,0.000303704
5,165.818,2.66536,4.20216,2.51071,0.41222,0.0319,0.01411,0.00512,2.57633,4.15231,2.73895,0.000300605,0.000300605,0.000300605
6,195.767,2.57007,4.09061,2.41206,0.49747,0.02672,0.01819,0.00746,2.577,4.12535,2.61837,0.000297507,0.000297507,0.000297507
7,225.258,2.49202,3.97531,2.33122,0.5013,0.04678,0.02841,0.01162,2.44673,3.96518,2.53532,0.000294408,0.000294408,0.000294408
8,256.344,2.43326,3.90194,2.28086,0.47188,0.06115,0.03562,0.01493,2.43473,3.94391,2.45256,0.000291309,0.000291309,0.000291309
9,284.792,2.36982,3.80543,2.22485,0.53356,0.06352,0.04217,0.01793,2.41383,3.90657,2.45275,0.00028821,0.00028821,0.00028821
10,313.746,2.31864,3.70919,2.17892,0.48456,0.07973,0.05252,0.02248,2.31264,3.79747,2.36538,0.000285112,0.000285112,0.000285112
11,342.218,2.28558,3.68024,2.15099,0.51117,0.08879,0.06036,0.02677,2.22939,3.72762,2.35505,0.000282013,0.000282013,0.000282013
12,372.489,2.23137,3.59399,2.09515,0.47733,0.1032,0.06067,0.02823,2.25578,3.77756,2.26224,0.000278914,0.000278914,0.000278914
13,402.625,2.20235,3.54098,2.06094,0.45118,0.1048,0.06818,0.03246,2.2036,3.70557,2.25721,0.000275816,0.000275816,0.000275816
14,433.49,2.15845,3.47529,2.03333,0.38724,0.12509,0.07646,0.03646,2.17543,3.65577,2.20338,0.000272717,0.000272717,0.000272717
15,463.331,2.14805,3.41555,1.99752,0.45425,0.12092,0.08279,0.04153,2.09753,3.55658,2.16661,0.000269618,0.000269618,0.000269618
16,493.347,2.10756,3.40743,1.97421,0.41519,0.118,0.08764,0.04319,2.17918,3.59302,2.18003,0.00026652,0.00026652,0.00026652
17,522.993,2.08431,3.35265,1.94116,0.34883,0.13781,0.08937,0.0465,2.10688,3.53317,2.13195,0.000263421,0.000263421,0.000263421
18,553.012,2.06035,3.30752,1.91927,0.4054,0.13656,0.09698,0.0511,2.05684,3.4862,2.09532,0.000260322,0.000260322,0.000260322
19,583.134,2.04097,3.2948,1.89695,0.44916,0.13074,0.09876,0.05133,2.08147,3.48986,2.10029,0.000257223,0.000257223,0.000257223
20,613.109,2.0119,3.25514,1.87869,0.38627,0.146,0.10428,0.05584,2.05482,3.46649,2.03605,0.000254125,0.000254125,0.000254125
